,instructor,quality,difficulty,take_again,timestamp,course_number,department,course_name,questions,%response,contributions,avg_response_time,enrolled,%instructor_response,%active,semester
52,Walker White ,5,3,Yes,"Nov 10th, 2018",1110, CS,CS 1110,2681,100,8544,15,569,84,73,FA17
53,Walker White ,5,4,Yes,"Nov 9th, 2018",1110, CS,CS 1110,3825,100,11364,10,716,97,69,FA18
54,Walker White ,5,4,Yes,"Nov 9th, 2018",1110, CS,CS 1110,3825,100,11364,10,716,97,69,FA18
55,Walker White ,5,4,Yes,"Nov 9th, 2018",1110, CS,CS 1110,2681,100,8544,15,569,84,73,FA17
56,Walker White ,5,4,Yes,"Nov 4th, 2018",1110, CS,CS 1110,3825,100,11364,10,716,97,69,FA18
57,Walker White ,5,4,Yes,"Nov 4th, 2018",1110, CS,CS 1110,3825,100,11364,10,716,97,69,FA18
58,Walker White ,5,4,Yes,"Nov 4th, 2018",1110, CS,CS 1110,2681,100,8544,15,569,84,73,FA17
59,Walker White ,5,3,Yes,"Oct 22nd, 2018",1110, CS,CS 1110,3825,100,11364,10,716,97,69,FA18
60,Walker White ,5,3,Yes,"Oct 22nd, 2018",1110, CS,CS 1110,3825,100,11364,10,716,97,69,FA18
61,Walker White ,5,3,Yes,"Oct 22nd, 2018",1110, CS,CS 1110,2681,100,8544,15,569,84,73,FA17
62,Walker White ,4,5,No,"Oct 1st, 2018",1110, CS,CS 1110,3825,100,11364,10,716,97,69,FA18
63,Walker White ,4,5,No,"Oct 1st, 2018",1110, CS,CS 1110,3825,100,11364,10,716,97,69,FA18
64,Walker White ,4,5,No,"Oct 1st, 2018",1110, CS,CS 1110,2681,100,8544,15,569,84,73,FA17
65,Walker White ,3,5,No,"Jul 9th, 2018",1110, CS,CS 1110,3825,100,11364,10,716,97,69,FA18
66,Walker White ,3,5,No,"Jul 9th, 2018",1110, CS,CS 1110,3825,100,11364,10,716,97,69,FA18
67,Walker White ,3,5,No,"Jul 9th, 2018",1110, CS,CS 1110,2681,100,8544,15,569,84,73,FA17
68,David Gries ,5,3,Yes,"May 23rd, 2020",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
69,David Gries ,5,3,Yes,"May 23rd, 2020",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
70,David Gries ,5,3,Yes,"May 23rd, 2020",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
71,David Gries ,5,3,Yes,"May 23rd, 2020",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
72,David Gries ,5,4,Yes,"May 22nd, 2020",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
73,David Gries ,5,4,Yes,"May 22nd, 2020",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
74,David Gries ,5,4,Yes,"May 22nd, 2020",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
75,David Gries ,5,4,Yes,"May 22nd, 2020",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
76,David Gries ,5,3,Yes,"Mar 12th, 2020",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
77,David Gries ,5,3,Yes,"Mar 12th, 2020",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
78,David Gries ,5,3,Yes,"Mar 12th, 2020",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
79,David Gries ,5,3,Yes,"Mar 12th, 2020",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
80,David Gries ,1,4,No,"Nov 19th, 2019",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
81,David Gries ,1,4,No,"Nov 19th, 2019",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
82,David Gries ,1,4,No,"Nov 19th, 2019",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
83,David Gries ,1,4,No,"Nov 19th, 2019",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
84,David Gries ,4,3,Yes,"Jul 23rd, 2019",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
85,David Gries ,4,3,Yes,"Jul 23rd, 2019",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
86,David Gries ,4,3,Yes,"Jul 23rd, 2019",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
87,David Gries ,4,3,Yes,"Jul 23rd, 2019",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
88,David Gries ,1,3,No,"Jun 4th, 2019",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
89,David Gries ,1,3,No,"Jun 4th, 2019",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
90,David Gries ,1,3,No,"Jun 4th, 2019",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
91,David Gries ,1,3,No,"Jun 4th, 2019",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
92,David Gries ,4,3,Yes,"Jan 24th, 2019",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
93,David Gries ,4,3,Yes,"Jan 24th, 2019",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
94,David Gries ,4,3,Yes,"Jan 24th, 2019",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
95,David Gries ,4,3,Yes,"Jan 24th, 2019",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
96,David Gries ,5,3,Yes,"Jan 12th, 2019",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
97,David Gries ,5,3,Yes,"Jan 12th, 2019",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
98,David Gries ,5,3,Yes,"Jan 12th, 2019",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
99,David Gries ,5,3,Yes,"Jan 12th, 2019",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
100,David Gries ,4,4,Yes,"Dec 15th, 2018",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
101,David Gries ,4,4,Yes,"Dec 15th, 2018",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
102,David Gries ,4,4,Yes,"Dec 15th, 2018",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
103,David Gries ,4,4,Yes,"Dec 15th, 2018",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
